# == pyFAI calibration ==
# Distance Sample to Detector: 1.19389178917929 m
# PONI: 2.049e-01, 2.073e-01 m
# Rotations: -0.002895 0.008002 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 1193.935 mm
# Center: x=712.167, y=724.652 pix
# Tilt: 0.488 deg  TiltPlanRot: 70.108 deg
# 
# Detector Detector	 Spline= None	 PixelSize= 2.960e-04, 2.960e-04 m
#    Detector has a mask: False 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.393e-11 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: 0.99
# Normalization factor: 1.0
# --> example-analysis/integrated.dat
#       2th_deg             I 
  7.015335e-01    2.155994e+00
  7.043920e-01    2.215099e+00
  7.072505e-01    2.213176e+00
  7.101090e-01    2.209331e+00
  7.129675e-01    2.243378e+00
  7.158260e-01    2.339256e+00
  7.186846e-01    2.351043e+00
  7.215431e-01    2.336489e+00
  7.244016e-01    2.338778e+00
  7.272601e-01    2.308666e+00
  7.301186e-01    2.211210e+00
  7.329772e-01    2.108021e+00
  7.358357e-01    2.020604e+00
  7.386942e-01    2.001292e+00
  7.415527e-01    1.992710e+00
  7.444112e-01    2.019723e+00
  7.472698e-01    2.075515e+00
  7.501283e-01    2.216098e+00
  7.529868e-01    2.255827e+00
  7.558453e-01    2.292422e+00
  7.587038e-01    2.323909e+00
  7.615624e-01    2.315731e+00
  7.644209e-01    2.296457e+00
  7.672794e-01    2.288562e+00
  7.701379e-01    2.223626e+00
  7.729964e-01    2.187489e+00
  7.758549e-01    2.164821e+00
  7.787135e-01    2.165151e+00
  7.815720e-01    2.260129e+00
  7.844305e-01    2.379568e+00
  7.872890e-01    2.466961e+00
  7.901475e-01    2.555268e+00
  7.930061e-01    2.618229e+00
  7.958646e-01    2.614886e+00
  7.987231e-01    2.596969e+00
  8.015816e-01    2.601650e+00
  8.044401e-01    2.558546e+00
  8.072987e-01    2.498935e+00
  8.101572e-01    2.462311e+00
  8.130157e-01    2.437529e+00
  8.158742e-01    2.379924e+00
  8.187327e-01    2.366739e+00
  8.215913e-01    2.339144e+00
  8.244498e-01    2.276068e+00
  8.273083e-01    2.193554e+00
  8.301668e-01    2.220136e+00
  8.330253e-01    2.291066e+00
  8.358839e-01    2.340058e+00
  8.387424e-01    2.311300e+00
  8.416009e-01    2.288098e+00
  8.444594e-01    2.242065e+00
  8.473179e-01    2.181743e+00
  8.501764e-01    2.169542e+00
  8.530350e-01    2.155210e+00
  8.558935e-01    2.134107e+00
  8.587520e-01    2.109080e+00
  8.616105e-01    2.113928e+00
  8.644690e-01    2.144295e+00
  8.673276e-01    2.224839e+00
  8.701861e-01    2.306762e+00
  8.730446e-01    2.318324e+00
  8.759031e-01    2.322109e+00
  8.787616e-01    2.357986e+00
  8.816202e-01    2.327876e+00
  8.844787e-01    2.293579e+00
  8.873372e-01    2.308350e+00
  8.901957e-01    2.291170e+00
  8.930542e-01    2.250029e+00
  8.959128e-01    2.238693e+00
  8.987713e-01    2.243947e+00
  9.016298e-01    2.222364e+00
  9.044883e-01    2.205515e+00
  9.073468e-01    2.235885e+00
  9.102053e-01    2.344022e+00
  9.130639e-01    2.332081e+00
  9.159224e-01    2.337520e+00
  9.187809e-01    2.357480e+00
  9.216394e-01    2.422760e+00
  9.244979e-01    2.438747e+00
  9.273565e-01    2.454715e+00
  9.302150e-01    2.487200e+00
  9.330735e-01    2.466481e+00
  9.359320e-01    2.421583e+00
  9.387905e-01    2.418869e+00
  9.416491e-01    2.472470e+00
  9.445076e-01    2.438685e+00
  9.473661e-01    2.383366e+00
  9.502246e-01    2.341848e+00
  9.530831e-01    2.395346e+00
  9.559417e-01    2.469546e+00
  9.588002e-01    2.494610e+00
  9.616587e-01    2.508499e+00
